primary_doi,source_ref_from_compilation,raw_block_rows,positive_qe_rows,core_process_complete_rows,plus_basic_material_rows,plus_elemental_CO_rows,qe_min_compilation,qe_max_compilation,primary_metadata_verified,primary_fulltext_or_supplement_checked,row_values_verified_against_primary,target_semantics_verified,units_verified,duplicate_lineage_checked,v3_admission_status,verification_notes
10.1016/j.scitotenv.2019.01.159,"Tang et al., 2019",81,81,81,81,81,0.776353264865764,45.6347438752783,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.scitotenv.2018.03.091,"Yin et al., 2018",22,21,21,21,21,0.491550299236465,46.8791896154345,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.jclepro.2019.117770,"Peng et al., 2019",60,60,60,60,60,4.44444444444444,70.3741361206039,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.biortech.2015.05.052,Jung et_al_2015,10,10,10,10,10,1.6017316017316,24.3290043290043,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.biortech.2019.121600,Xu et_al_2019,80,80,80,80,80,0.0898203592814391,36.1989793499696,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.biortech.2016.02.125,Li et_al_2016,25,25,25,25,0,0.419162114347255,119.065281899109,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.cej.2012.08.052,Zhang et_al_2012,16,16,0,0,0,0.08322324966974826,460.344827586206,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.biortech.2017.09.136,yang et_al_2018,92,92,92,92,0,0.216867469879516,83.2100187315183,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.psep.2020.05.017,Jia et_al_2020,87,87,87,87,0,11.2970711297071,127.773655105591,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.envres.2023.116266,Shin et_al_2023,54,52,0,0,0,0.0434780565537141,7.66666594005766,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.3390/ijerph110909217,"Fang., et al 2014",125,125,125,125,0,6.61661796166789,163.384955752212,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.chemosphere.2014.07.084,"Wang et al., 2015",32,32,32,32,32,0.398550724637681,20.3688524590163,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.jclepro.2017.12.117,"Yin., et al 2018",14,14,14,14,14,1.99004975124378,75.6218905472636,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1039/c8ew00952j,"Jing et al., 2019",44,44,44,44,0,0.914636865249138,153.780687945964,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1021/acssuschemeng.0c01112,An et al 2020,32,32,32,32,0,12.5673377917211,244.614006014126,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
